date,open,close,high,low,volume,amount,capital
2025-01-02,22.5100,21.7400,22.6600,21.5800,20774.1800,46374.2610,16000.0000
2025-01-03,21.7100,20.6700,21.8000,20.6200,23644.1600,50340.4400,16000.0000
2025-01-06,20.4300,20.4600,20.9200,20.0400,15824.4300,32687.3410,16000.0000
2025-01-07,20.4600,20.9800,20.9800,20.3300,15645.8200,32668.1220,16000.0000
2025-01-08,20.7700,20.7700,20.9500,20.2200,13109.9800,27298.4550,16000.0000
2025-01-09,20.8300,20.8900,21.1200,20.7200,10343.2400,21863.4520,16000.0000
2025-01-10,20.6800,20.2400,21.0200,20.2300,9992.9500,20764.7760,16000.0000
2025-01-13,20.0300,20.2500,20.3100,19.7800,8347.2500,16895.6650,16000.0000
2025-01-14,20.2500,20.9000,20.9200,20.2500,15565.2300,32538.3640,16000.0000
2025-01-15,21.0000,21.0000,21.2900,20.8500,15908.0100,33784.8730,16000.0000
2025-01-16,20.9400,21.6100,21.6500,20.9400,25209.2400,54359.9900,16000.0000
2025-01-17,21.3600,22.0000,22.0600,21.3500,19530.8700,43039.3590,16000.0000
2025-01-20,22.0300,22.1100,22.7900,21.9100,25758.8300,57943.2750,16000.0000
2025-01-21,22.2600,22.5300,22.7100,21.9700,21961.4200,49658.3220,16000.0000
2025-01-22,22.4400,22.7100,22.8500,22.2600,22691.8800,51657.1010,16000.0000
2025-01-23,22.7900,22.4000,22.9300,22.3100,28713.0900,65513.2940,16000.0000
2025-01-24,22.3900,22.2800,22.4900,22.0600,15933.3400,35702.6620,16000.0000
2025-01-27,22.2800,21.9100,22.4600,21.8100,11173.2000,24836.2420,16000.0000
2025-02-05,22.0100,21.9600,22.1600,21.6700,13890.1500,30651.8040,16000.0000
2025-02-06,21.9700,22.3400,22.3600,21.8100,14166.4900,31767.4570,16000.0000
2025-02-07,22.3400,22.4700,22.5600,22.2300,17498.0200,39604.1510,16000.0000
2025-02-10,22.5300,22.6600,22.6700,22.3300,13881.4300,31579.5510,16000.0000
2025-02-11,22.6700,22.5900,22.8700,22.5100,11532.2300,26299.8040,16000.0000
2025-02-12,22.5000,22.5800,22.6700,22.3100,11839.5400,26848.7210,16000.0000
2025-02-13,22.5200,22.3900,22.6700,22.1700,17027.8500,38410.6000,16000.0000
2025-02-14,22.3900,22.4300,22.5600,22.2900,9768.5300,22098.6540,16000.0000
2025-02-17,22.4300,22.6700,22.9000,22.4300,17017.9600,38961.5270,16000.0000
2025-02-18,22.7200,22.2100,22.7500,22.1200,13413.7400,30404.7710,16000.0000
2025-02-19,22.1700,22.6700,22.6900,22.1700,16449.1900,37442.7160,16000.0000
